"myVNA data file"
 Freq. (Hz), Rho (real), Rho(imag)
4975062.50, -8.86969144e-001, +4.15128548e-001
4975100.00, -8.86466576e-001, +4.15862845e-001
4975137.50, -8.85870854e-001, +4.16435891e-001
4975175.00, -8.84983692e-001, +4.17070734e-001
4975212.50, -8.84233853e-001, +4.17711663e-001
4975250.00, -8.83630295e-001, +4.18402067e-001
4975287.50, -8.83054461e-001, +4.19115112e-001
4975325.00, -8.82144160e-001, +4.19820821e-001
4975362.50, -8.81417700e-001, +4.20465455e-001
4975400.00, -8.80603484e-001, +4.21162133e-001
4975437.50, -8.79512852e-001, +4.21895129e-001
4975475.00, -8.78688042e-001, +4.22759630e-001
4975512.50, -8.77964627e-001, +4.23491968e-001
4975550.00, -8.77014545e-001, +4.24230753e-001
4975587.50, -8.76026777e-001, +4.25250809e-001
4975625.00, -8.74797281e-001, +4.25819586e-001
4975662.50, -8.73612173e-001, +4.26778557e-001
4975700.00, -8.72603934e-001, +4.27441615e-001
4975737.50, -8.71587340e-001, +4.28456764e-001
4975775.00, -8.70338395e-001, +4.29250860e-001
4975812.50, -8.68993644e-001, +4.30347293e-001
4975850.00, -8.67624612e-001, +4.31291218e-001
4975887.50, -8.66260238e-001, +4.32326296e-001
4975925.00, -8.64861672e-001, +4.33204598e-001
4975962.50, -8.63204515e-001, +4.34353904e-001
4976000.00, -8.61690649e-001, +4.35374657e-001
4976037.50, -8.59696422e-001, +4.36390598e-001
4976075.00, -8.58026591e-001, +4.37851834e-001
4976112.50, -8.56187187e-001, +4.38934202e-001
4976150.00, -8.54041075e-001, +4.40080174e-001
4976187.50, -8.51914131e-001, +4.41335921e-001
4976225.00, -8.49609230e-001, +4.42762141e-001
4976262.50, -8.47317404e-001, +4.43968274e-001
4976300.00, -8.44591487e-001, +4.45145020e-001
4976337.50, -8.41870278e-001, +4.46687458e-001
4976375.00, -8.38868326e-001, +4.47916429e-001
4976412.50, -8.35817994e-001, +4.49104988e-001
4976450.00, -8.32467780e-001, +4.50429961e-001
4976487.50, -8.29061932e-001, +4.51049810e-001
4976525.00, -8.25340320e-001, +4.52620149e-001
4976562.50, -8.21310283e-001, +4.53755286e-001
4976600.00, -8.17111719e-001, +4.54721982e-001
4976637.50, -8.12745300e-001, +4.55509243e-001
4976675.00, -8.07960194e-001, +4.56351357e-001
4976712.50, -8.02884365e-001, +4.56591821e-001
4976750.00, -7.97497358e-001, +4.57024074e-001
4976787.50, -7.91748377e-001, +4.57174380e-001
4976825.00, -7.85709744e-001, +4.56440885e-001
4976862.50, -7.79224787e-001, +4.55883111e-001
4976900.00, -7.72518438e-001, +4.54504132e-001
4976937.50, -7.65513506e-001, +4.53005962e-001
4976975.00, -7.58141866e-001, +4.50605269e-001
4977012.50, -7.50157144e-001, +4.48070611e-001
4977050.00, -7.42321852e-001, +4.44455478e-001
4977087.50, -7.34084096e-001, +4.40414963e-001
4977125.00, -7.25516766e-001, +4.35364154e-001
4977162.50, -7.17201254e-001, +4.29250172e-001
4977200.00, -7.08244456e-001, +4.22403177e-001
4977237.50, -6.99579708e-001, +4.14536485e-001
4977275.00, -6.91199820e-001, +4.05290438e-001
4977312.50, -6.82782781e-001, +3.95054689e-001
4977350.00, -6.74567174e-001, +3.83566346e-001
4977387.50, -6.67158804e-001, +3.70214368e-001
4977425.00, -6.60482146e-001, +3.55665321e-001
4977462.50, -6.54962748e-001, +3.39765629e-001
4977500.00, -6.50726598e-001, +3.22144493e-001
4977537.50, -6.47780003e-001, +3.03761303e-001
4977575.00, -6.47705416e-001, +2.83947260e-001
4977612.50, -6.50972841e-001, +2.63568566e-001
4977650.00, -6.56667460e-001, +2.43456380e-001
4977687.50, -6.65389333e-001, +2.24460500e-001
4977725.00, -6.76989153e-001, +2.07170663e-001
4977762.50, -6.91257294e-001, +1.92192562e-001
4977800.00, -7.07904373e-001, +1.80137997e-001
4977837.50, -7.25593437e-001, +1.70875128e-001
4977875.00, -7.43970067e-001, +1.64861836e-001
4977912.50, -7.62554659e-001, +1.61517177e-001
4977950.00, -7.80495479e-001, +1.60568031e-001
4977987.50, -7.97047437e-001, +1.61568377e-001
4978025.00, -8.12268924e-001, +1.64530738e-001
4978062.50, -8.26387119e-001, +1.68315644e-001
4978100.00, -8.38986115e-001, +1.73150454e-001
4978137.50, -8.49922841e-001, +1.78343460e-001
4978175.00, -8.59862724e-001, +1.83736956e-001
4978212.50, -8.68447833e-001, +1.89595061e-001
4978250.00, -8.75931213e-001, +1.95500836e-001
4978287.50, -8.82747411e-001, +2.01117905e-001
4978325.00, -8.88452952e-001, +2.06727280e-001
4978362.50, -8.93636138e-001, +2.12057597e-001
4978400.00, -8.97991317e-001, +2.17374564e-001
4978437.50, -9.01820551e-001, +2.22315237e-001
4978475.00, -9.05442319e-001, +2.27055068e-001
4978512.50, -9.08384692e-001, +2.31544852e-001
4978550.00, -9.11247369e-001, +2.35967999e-001
4978587.50, -9.13147131e-001, +2.39941973e-001
4978625.00, -9.15389459e-001, +2.43973249e-001
4978662.50, -9.17150885e-001, +2.47673765e-001
4978700.00, -9.18795127e-001, +2.51240205e-001
4978737.50, -9.20109716e-001, +2.54601882e-001
4978775.00, -9.21333117e-001, +2.57459174e-001
4978812.50, -9.22360405e-001, +2.60970437e-001
4978850.00, -9.23251054e-001, +2.63710291e-001
4978887.50, -9.24053287e-001, +2.66519607e-001
4978925.00, -9.24769805e-001, +2.69099299e-001
4978962.50, -9.25428110e-001, +2.71744583e-001
4979000.00, -9.25808883e-001, +2.74327930e-001
4979037.50, -9.26173103e-001, +2.76617540e-001
4979075.00, -9.26541131e-001, +2.78779670e-001
4979112.50, -9.26847129e-001, +2.80963944e-001
4979150.00, -9.27149151e-001, +2.82938361e-001
4979187.50, -9.27530414e-001, +2.84994986e-001
4979225.00, -9.27456297e-001, +2.86962387e-001
4979262.50, -9.27760177e-001, +2.88878121e-001
4979300.00, -9.27872704e-001, +2.90591256e-001
4979337.50, -9.27876222e-001, +2.92328660e-001
4979375.00, -9.27991695e-001, +2.93922524e-001
4979412.50, -9.28217747e-001, +2.95556027e-001
4979450.00, -9.28081717e-001, +2.96939266e-001
4979487.50, -9.28267596e-001, +2.98576600e-001
4979525.00, -9.28198661e-001, +2.99975392e-001
4979562.50, -9.28187795e-001, +3.01362257e-001
4979600.00, -9.28183728e-001, +3.02749092e-001
4979637.50, -9.28305989e-001, +3.03858143e-001
4979675.00, -9.28185930e-001, +3.05174670e-001
4979712.50, -9.27897634e-001, +3.06195422e-001
4979750.00, -9.27863484e-001, +3.07224670e-001
4979787.50, -9.27903739e-001, +3.08456688e-001
4979825.00, -9.27834257e-001, +3.09157495e-001
4979862.50, -9.27681690e-001, +3.10485703e-001
4979900.00, -9.27804233e-001, +3.11329760e-001
4979937.50, -9.27656372e-001, +3.12362532e-001
4979975.00, -9.27579755e-001, +3.13145594e-001
4980012.50, -9.27371281e-001, +3.13930427e-001
4980050.00, -9.27395966e-001, +3.14888858e-001
4980087.50, -9.27358999e-001, +3.15653965e-001
4980125.00, -9.27251497e-001, +3.16298394e-001
4980162.50, -9.27048925e-001, +3.17111137e-001
4980200.00, -9.26902849e-001, +3.17641194e-001
4980237.50, -9.26831875e-001, +3.18472335e-001
4980275.00, -9.26650707e-001, +3.19113932e-001
4980312.50, -9.26764776e-001, +3.19627409e-001
4980350.00, -9.26620730e-001, +3.20360752e-001
4980387.50, -9.26473251e-001, +3.20975629e-001
4980425.00, -9.26282998e-001, +3.21586998e-001
4980462.50, -9.26304159e-001, +3.22084797e-001
4980500.00, -9.26346050e-001, +3.22626166e-001
4980537.50, -9.26357748e-001, +3.23165776e-001
4980575.00, -9.26243301e-001, +3.23608078e-001
4980612.50, -9.26216533e-001, +3.23990586e-001
4980650.00, -9.26283260e-001, +3.24460026e-001
4980687.50, -9.26079268e-001, +3.24999173e-001
4980725.00, -9.26183322e-001, +3.25408401e-001
4980762.50, -9.26207859e-001, +3.25919561e-001
4980800.00, -9.26145672e-001, +3.26214349e-001
4980837.50, -9.26202005e-001, +3.26606601e-001
4980875.00, -9.26074021e-001, +3.27201641e-001
4980912.50, -9.26026292e-001, +3.27732527e-001
4980950.00, -9.26094471e-001, +3.28114672e-001
4980987.50, -9.26128871e-001, +3.28531771e-001
4981025.00, -9.26120821e-001, +3.29031101e-001
4981062.50, -9.26091199e-001, +3.29346242e-001
4981100.00, -9.26212346e-001, +3.29882432e-001
4981137.50, -9.26145764e-001, +3.30185709e-001
4981175.00, -9.26184840e-001, +3.30528956e-001
4981212.50, -9.26137256e-001, +3.31050626e-001
4981250.00, -9.25958752e-001, +3.31420529e-001
4981287.50, -9.25916403e-001, +3.31765933e-001
4981325.00, -9.25962322e-001, +3.32092536e-001
4981362.50, -9.25881025e-001, +3.32497327e-001
4981400.00, -9.26048116e-001, +3.32796916e-001
4981437.50, -9.25749330e-001, +3.33211384e-001
4981475.00, -9.25943602e-001, +3.33569055e-001
4981512.50, -9.25844609e-001, +3.33861249e-001
4981550.00, -9.25714446e-001, +3.34154109e-001
4981587.50, -9.25724686e-001, +3.34544319e-001
4981625.00, -9.25708471e-001, +3.34732035e-001
4981662.50, -9.25638371e-001, +3.34947155e-001
4981700.00, -9.25482392e-001, +3.35354905e-001
4981737.50, -9.25468371e-001, +3.35621454e-001
4981775.00, -9.25566909e-001, +3.35861133e-001
4981812.50, -9.25587580e-001, +3.36194308e-001
4981850.00, -9.25540506e-001, +3.36197867e-001
4981887.50, -9.25467854e-001, +3.36592761e-001
4981925.00, -9.25332704e-001, +3.36713484e-001
4981962.50, -9.25458163e-001, +3.37118503e-001
4982000.00, -9.25351561e-001, +3.37411618e-001
4982037.50, -9.25362194e-001, +3.37591081e-001
4982075.00, -9.25578187e-001, +3.37854796e-001
4982112.50, -9.25378027e-001, +3.37928039e-001
4982150.00, -9.25404870e-001, +3.38062351e-001
4982187.50, -9.25438658e-001, +3.38501285e-001
4982225.00, -9.25461199e-001, +3.38675034e-001
4982262.50, -9.25415158e-001, +3.38954102e-001
4982300.00, -9.25523149e-001, +3.39145840e-001
4982337.50, -9.25516201e-001, +3.39340207e-001
4982375.00, -9.25592275e-001, +3.39865955e-001
4982412.50, -9.25473667e-001, +3.39922223e-001
4982450.00, -9.25413664e-001, +3.40147371e-001
4982487.50, -9.25497232e-001, +3.40376018e-001
4982525.00, -9.25514735e-001, +3.40692371e-001
4982562.50, -9.25473519e-001, +3.40880673e-001
4982600.00, -9.25455181e-001, +3.41306834e-001
4982637.50, -9.25545484e-001, +3.41377647e-001
4982675.00, -9.25525116e-001, +3.41575294e-001
4982712.50, -9.25435109e-001, +3.41782858e-001
4982750.00, -9.25561783e-001, +3.42262580e-001
4982787.50, -9.25663241e-001, +3.42289672e-001
4982825.00, -9.25580784e-001, +3.42640760e-001
4982862.50, -9.25475711e-001, +3.42661725e-001
4982900.00, -9.25490410e-001, +3.43062133e-001
4982937.50, -9.25401061e-001, +3.43127685e-001
4982975.00, -9.25562064e-001, +3.43493481e-001
4983012.50, -9.25557574e-001, +3.43712197e-001
4983050.00, -9.25509127e-001, +3.43825929e-001
4983087.50, -9.25483683e-001, +3.44220878e-001
4983125.00, -9.25451840e-001, +3.44352224e-001
4983162.50, -9.25263981e-001, +3.44633079e-001
4983200.00, -9.25326204e-001, +3.44619633e-001
4983237.50, -9.25290314e-001, +3.44906309e-001
4983275.00, -9.25319600e-001, +3.45093494e-001
4983312.50, -9.25243075e-001, +3.45117855e-001
4983350.00, -9.25176336e-001, +3.45363329e-001
4983387.50, -9.24955680e-001, +3.45491922e-001
4983425.00, -9.25036168e-001, +3.45685979e-001
4983462.50, -9.25003095e-001, +3.45939079e-001
4983500.00, -9.24982373e-001, +3.46055359e-001
4983537.50, -9.24937247e-001, +3.46326978e-001
4983575.00, -9.24961258e-001, +3.46399709e-001
4983612.50, -9.25050813e-001, +3.46630858e-001
4983650.00, -9.25097311e-001, +3.46741593e-001
4983687.50, -9.24798409e-001, +3.47089928e-001
4983725.00, -9.24929494e-001, +3.47227120e-001
4983762.50, -9.24833014e-001, +3.47235520e-001
4983800.00, -9.24686514e-001, +3.47463695e-001
4983837.50, -9.24620230e-001, +3.47647658e-001
4983875.00, -9.24407146e-001, +3.47756355e-001
4983912.50, -9.24512730e-001, +3.47978968e-001
4983950.00, -9.24428081e-001, +3.48120954e-001
4983987.50, -9.24464479e-001, +3.48261862e-001
4984025.00, -9.24361789e-001, +3.48345019e-001
4984062.50, -9.24385737e-001, +3.48478484e-001
4984100.00, -9.24398077e-001, +3.48391752e-001
4984137.50, -9.24270759e-001, +3.48736838e-001
4984175.00, -9.24423208e-001, +3.48849835e-001
4984212.50, -9.24235971e-001, +3.48894701e-001
4984250.00, -9.24123755e-001, +3.49054365e-001
4984287.50, -9.24329233e-001, +3.49166780e-001
4984325.00, -9.23942147e-001, +3.49206566e-001
4984362.50, -9.24104692e-001, +3.49341444e-001
4984400.00, -9.24040247e-001, +3.49353425e-001
4984437.50, -9.23904419e-001, +3.49706768e-001
4984475.00, -9.23966023e-001, +3.49534705e-001
4984512.50, -9.23806781e-001, +3.49719122e-001
4984550.00, -9.23922428e-001, +3.49980686e-001
4984587.50, -9.23806863e-001, +3.49973097e-001
4984625.00, -9.23646871e-001, +3.50119719e-001
4984662.50, -9.23874310e-001, +3.50065200e-001
4984700.00, -9.23974139e-001, +3.50323112e-001
4984737.50, -9.23882446e-001, +3.50395528e-001
4984775.00, -9.23868626e-001, +3.50559764e-001
4984812.50, -9.23758549e-001, +3.50614244e-001
4984850.00, -9.23576433e-001, +3.50673516e-001
4984887.50, -9.23597760e-001, +3.50822910e-001
4984925.00, -9.23835396e-001, +3.50921071e-001
4984962.50, -9.23764075e-001, +3.51126284e-001
4985000.00, -9.23805952e-001, +3.51240289e-001
